Size,Algorithm,Runtime (ms)
matrix_1x1,HK,0.0743
matrix_1x1,LS,0.1042
matrix_2x2,HK,0.0155
matrix_2x2,LS,0.256
matrix_3x3,HK,0.0521
matrix_3x3,LS,0.2777
matrix_4x4,HK,0.0184
matrix_4x4,LS,0.3047
matrix_5x5,HK,0.0254
matrix_5x5,LS,0.3567
matrix_6x6,HK,0.0355
matrix_6x6,LS,1.0764
matrix_7x7,HK,0.0865
matrix_7x7,LS,0.472
matrix_8x8,HK,0.2404
matrix_8x8,LS,0.5295
matrix_9x9,HK,0.5103
matrix_9x9,LS,0.6403
matrix_10x10,HK,0.6015
matrix_10x10,LS,0.7593
matrix_11x11,HK,1.4998
matrix_11x11,LS,0.1003
matrix_12x12,HK,1.6306
matrix_12x12,LS,0.087
matrix_13x13,HK,4.4784
matrix_13x13,LS,0.0875
matrix_14x14,HK,8.7891
matrix_14x14,LS,0.079
matrix_15x15,HK,19.4393
matrix_15x15,LS,0.0988
matrix_16x16,HK,46.1302
matrix_16x16,LS,0.1056
matrix_17x17,HK,99.6933
matrix_17x17,LS,0.1659
matrix_18x18,HK,266.3506
matrix_18x18,LS,0.2432
matrix_19x19,HK,638.3402
matrix_19x19,LS,0.1933
matrix_20x20,HK,1569.8052
matrix_20x20,LS,0.1255
matrix_21x21,HK,3776.4315
matrix_21x21,LS,0.2296
matrix_22x22,HK,9626.3937
matrix_22x22,LS,0.2452
 matrix_23x23, HK,24036.2596
 matrix_23x23, LS,0.1598
 matrix_24x24, HK,57914.3853
 matrix_24x24, LS,0.2881
 matrix_25x25, HK,140189.0482
 matrix_25x25, LS,0.6619
 matrix_26x26, HK,352346.5652
 matrix_26x26, LS,0.3454
